# x y z bx by bz
 0 0 10.1095 5.92318e-18 0 -2.37532
 0 0 10.1145 0 0 -2.3574
 0 0 10.1195 0 0 -2.33962
 0 0 10.1245 0 0 -2.32189
 0 0 10.1295 0 0 -2.30422
 0 0 10.1345 0 0 -2.28659
 0 0 10.1395 0 0 -2.26901
 0 0 10.1445 0 0 -2.25149
 0 0 10.1495 0 0 -2.23401
 0 0 10.1545 0 0 -2.21659
 0 0 10.1595 0 0 -2.19922
 0 0 10.1645 0 0 -2.1819
 0 0 10.1695 0 0 -2.16463
 0 0 10.1745 0 0 -2.14741
 0 0 10.1795 0 0 -2.13024
 0 0 10.1845 0 0 -2.11313
 0 0 10.1895 0 0 -2.09606
 0 0 10.1945 0 0 -2.07905
 0 0 10.1995 0 0 -2.06209
 0 0 10.2045 0 0 -2.04518
 0 0 10.2095 0 0 -2.02832
 0 0 10.2145 0 0 -2.01151
 0 0 10.2195 0 0 -1.99475
 0 0 10.2245 0 0 -1.97838
 0 0 10.2295 0 0 -1.96255
 0 0 10.2345 0 0 -1.94687
 0 0 10.2395 0 0 -1.93133
 0 0 10.2445 0 0 -1.91595
 0 0 10.2495 0 0 -1.90071
 0 0 10.2545 0 0 -1.88562
 0 0 10.2595 0 0 -1.87068
 0 0 10.2645 0 0 -1.85589
 0 0 10.2695 0 0 -1.84125
 0 0 10.2745 0 0 -1.82675
 0 0 10.2795 0 0 -1.81241
 0 0 10.2845 0 0 -1.79821
 0 0 10.2895 0 0 -1.78416
 0 0 10.2945 0 0 -1.77027
 0 0 10.2995 0 0 -1.75652
 0 0 10.3045 0 0 -1.74291
 0 0 10.3095 0 0 -1.72946
 0 0 10.3145 0 0 -1.71616
 0 0 10.3195 0 0 -1.703
 0 0 10.3245 0 0 -1.69
 0 0 10.3295 0 0 -1.67714
 0 0 10.3345 0 0 -1.6653
 0 0 10.3395 0 0 -1.6563
 0 0 10.3445 0 0 -1.64721
 0 0 10.3495 0 0 -1.63804
 0 0 10.3545 0 0 -1.62878
 0 0 10.3595 0 0 -1.61943
 0 0 10.3645 0 0 -1.60999
 0 0 10.3695 0 0 -1.60047
 0 0 10.3745 0 0 -1.59086
 0 0 10.3795 0 0 -1.58116
 0 0 10.3845 0 0 -1.57137
 0 0 10.3895 0 0 -1.5615
 0 0 10.3945 0 0 -1.55154
 0 0 10.3995 0 0 -1.54149
 0 0 10.4045 0 0 -1.53136
 0 0 10.4095 0 0 -1.52113
 0 0 10.4145 0 0 -1.51082
 0 0 10.4195 0 0 -1.50042
 0 0 10.4245 0 0 -1.48994
 0 0 10.4295 0 0 -1.47936
 0 0 10.4345 0 0 -1.4687
 0 0 10.4395 0 0 -1.45795
 0 0 10.4445 0 0 -1.44717
 0 0 10.4495 0 0 -1.4407
 0 0 10.4545 0 0 -1.43428
 0 0 10.4595 0 0 -1.42791
 0 0 10.4645 0 0 -1.42158
 0 0 10.4695 0 0 -1.41529
 0 0 10.4745 0 0 -1.40905
 0 0 10.4795 0 0 -1.40285
 0 0 10.4845 0 0 -1.3967
 0 0 10.4895 0 0 -1.3906
 0 0 10.4945 0 0 -1.38453
 0 0 10.4995 0 0 -1.37851
 0 0 10.5045 0 0 -1.37254
 0 0 10.5095 0 0 -1.36661
 0 0 10.5145 0 0 -1.36073
 0 0 10.5195 0 0 -1.35489
 0 0 10.5245 0 0 -1.34909
 0 0 10.5295 0 0 -1.34334
 0 0 10.5345 0 0 -1.33764
 0 0 10.5395 0 0 -1.33198
 0 0 10.5445 0 0 -1.32636
 0 0 10.5495 0 0 -1.32079
 0 0 10.5545 0 0 -1.31526
 0 0 10.5595 0 0 -1.31038
 0 0 10.5645 0 0 -1.30568
 0 0 10.5695 0 0 -1.301
 0 0 10.5745 0 0 -1.29632
 0 0 10.5795 0 0 -1.29166
 0 0 10.5845 0 0 -1.28701
 0 0 10.5895 0 0 -1.28237
 0 0 10.5945 0 0 -1.27775
 0 0 10.5995 0 0 -1.27314
 0 0 10.6045 0 0 -1.26854
 0 0 10.6095 0 0 -1.26395
 0 0 10.6145 0 0 -1.25938
 0 0 10.6195 0 0 -1.25481
 0 0 10.6245 0 0 -1.25027
 0 0 10.6295 0 0 -1.24573
 0 0 10.6345 0 0 -1.24121
 0 0 10.6395 0 0 -1.23669
 0 0 10.6445 0 0 -1.2322
 0 0 10.6495 0 0 -1.22771
 0 0 10.6545 0 0 -1.22324
 0 0 10.6595 0 0 -1.21878
 0 0 10.6645 0 0 -1.21433
 0 0 10.6695 0 0 -1.21182
 0 0 10.6745 0 0 -1.21077
 0 0 10.6795 0 0 -1.20971
 0 0 10.6845 0 0 -1.20864
 0 0 10.6895 0 0 -1.20756
 0 0 10.6945 0 0 -1.20647
 0 0 10.6995 0 0 -1.20538
 0 0 10.7045 0 0 -1.20427
 0 0 10.7095 0 0 -1.20315
 0 0 10.7145 0 0 -1.20202
 0 0 10.7195 0 0 -1.20088
 0 0 10.7245 0 0 -1.19973
 0 0 10.7295 0 0 -1.19857
 0 0 10.7345 0 0 -1.1974
 0 0 10.7395 0 0 -1.19622
 0 0 10.7445 0 0 -1.19503
 0 0 10.7495 0 0 -1.19383
 0 0 10.7545 0 0 -1.19262
 0 0 10.7595 0 0 -1.1914
 0 0 10.7645 0 0 -1.19017
 0 0 10.7695 0 0 -1.18893
 0 0 10.7745 0 0 -1.18768
 0 0 10.7795 0 0 -1.18662
 0 0 10.7845 0 0 -1.18594
 0 0 10.7895 0 0 -1.18525
 0 0 10.7945 0 0 -1.18457
 0 0 10.7995 0 0 -1.18388
 0 0 10.8045 0 0 -1.18319
 0 0 10.8095 0 0 -1.1825
 0 0 10.8145 0 0 -1.1818
 0 0 10.8195 0 0 -1.1811
 0 0 10.8245 0 0 -1.18039
 0 0 10.8295 0 0 -1.17969
 0 0 10.8345 0 0 -1.17898
 0 0 10.8395 0 0 -1.17827
 0 0 10.8445 0 0 -1.17755
 0 0 10.8495 0 0 -1.17683
 0 0 10.8545 0 0 -1.17611
 0 0 10.8595 0 0 -1.17538
 0 0 10.8645 0 0 -1.17466
 0 0 10.8695 0 0 -1.17393
 0 0 10.8745 0 0 -1.17319
 0 0 10.8795 0 0 -1.17246
 0 0 10.8845 0 0 -1.17172
 0 0 10.8895 -2.14966e-18 0 -1.17119
 0 0 10.8945 -2.08315e-18 0 -1.17225
 0 0 10.8995 -2.01663e-18 0 -1.17332
 0 0 10.9045 -1.95011e-18 0 -1.17438
 0 0 10.9095 -1.88359e-18 0 -1.17545
 0 0 10.9145 -1.81707e-18 0 -1.17652
 0 0 10.9195 -1.75056e-18 0 -1.1776
 0 0 10.9245 -1.68404e-18 0 -1.17868
 0 0 10.9295 -1.61752e-18 0 -1.17976
 0 0 10.9345 -1.551e-18 0 -1.18085
 0 0 10.9395 -1.48448e-18 0 -1.18194
 0 0 10.9445 -1.41797e-18 0 -1.18303
 0 0 10.9495 -1.35145e-18 0 -1.18413
 0 0 10.9545 -1.28493e-18 0 -1.18523
 0 0 10.9595 -1.21841e-18 0 -1.18633
 0 0 10.9645 -1.1519e-18 0 -1.18744
 0 0 10.9695 -1.08538e-18 0 -1.18855
 0 0 10.9745 -1.01886e-18 0 -1.18966
 0 0 10.9795 -9.52341e-19 0 -1.19078
 0 0 10.9845 -8.85823e-19 0 -1.1919
 0 0 10.9895 -8.19305e-19 0 -1.19302
 0 0 10.9945 -7.52787e-19 0 -1.19415
 0 0 10.9995 -6.86269e-19 0 -1.19528
 0 0 11.0045 0 0 -1.19662
 0 0 11.0095 0 0 -1.19798
 0 0 11.0145 0 0 -1.19933
 0 0 11.0195 0 0 -1.20067
 0 0 11.0245 0 0 -1.202
 0 0 11.0295 0 0 -1.20331
 0 0 11.0345 0 0 -1.20461
 0 0 11.0395 0 0 -1.2059
 0 0 11.0445 0 0 -1.20718
 0 0 11.0495 0 0 -1.20845
 0 0 11.0545 0 0 -1.20971
 0 0 11.0595 0 0 -1.21095
 0 0 11.0645 0 0 -1.21218
 0 0 11.0695 0 0 -1.21341
 0 0 11.0745 0 0 -1.21462
 0 0 11.0795 0 0 -1.21581
 0 0 11.0845 0 0 -1.217
 0 0 11.0895 0 0 -1.21818
 0 0 11.0945 0 0 -1.21934
 0 0 11.0995 0 0 -1.22049
 0 0 11.1045 0 0 -1.22163
 0 0 11.1095 0 0 -1.22276
 0 0 11.1145 -6.13929e-19 0 -1.22364
 0 0 11.1195 -6.22876e-19 0 -1.22441
 0 0 11.1245 -6.31823e-19 0 -1.22521
 0 0 11.1295 -6.40769e-19 0 -1.22602
 0 0 11.1345 -6.49716e-19 0 -1.22684
