# x y z bx by bz
 0 0 10.1095 0 0 -2.37448
 0 0 10.1145 0 0 -2.35635
 0 0 10.1195 0 0 -2.3382
 0 0 10.1245 0 0 -2.32004
 0 0 10.1295 0 0 -2.30186
 0 0 10.1345 0 0 -2.28366
 0 0 10.1395 0 0 -2.26546
 0 0 10.1445 0 0 -2.24728
 0 0 10.1495 0 0 -2.22928
 0 0 10.1545 0 0 -2.21138
 0 0 10.1595 0 0 -2.19358
 0 0 10.1645 0 0 -2.17588
 0 0 10.1695 0 0 -2.15829
 0 0 10.1745 0 0 -2.1408
 0 0 10.1795 0 0 -2.12341
 0 0 10.1845 0 0 -2.10612
 0 0 10.1895 0 0 -2.08894
 0 0 10.1945 0 0 -2.07186
 0 0 10.1995 0 0 -2.05489
 0 0 10.2045 0 0 -2.03801
 0 0 10.2095 0 0 -2.02124
 0 0 10.2145 0 0 -2.00465
 0 0 10.2195 0 0 -1.98976
 0 0 10.2245 0 0 -1.97487
 0 0 10.2295 0 0 -1.96
 0 0 10.2345 0 0 -1.94512
 0 0 10.2395 0 0 -1.93025
 0 0 10.2445 0 0 -1.91539
 0 0 10.2495 0 0 -1.90053
 0 0 10.2545 0 0 -1.88568
 0 0 10.2595 0 0 -1.87083
 0 0 10.2645 0 0 -1.85598
 0 0 10.2695 0 0 -1.84115
 0 0 10.2745 0 0 -1.82631
 0 0 10.2795 0 0 -1.81148
 0 0 10.2845 0 0 -1.79666
 0 0 10.2895 0 0 -1.78348
 0 0 10.2945 0 0 -1.77086
 0 0 10.2995 0 0 -1.75827
 0 0 10.3045 0 0 -1.74572
 0 0 10.3095 0 0 -1.7332
 0 0 10.3145 0 0 -1.72072
 0 0 10.3195 0 0 -1.70828
 0 0 10.3245 0 0 -1.69587
 0 0 10.3295 0 0 -1.6835
 0 0 10.3345 0 0 -1.67116
 0 0 10.3395 0 0 -1.65886
 0 0 10.3445 0 0 -1.64659
 0 0 10.3495 0 0 -1.63436
 0 0 10.3545 0 0 -1.62216
 0 0 10.3595 0 0 -1.61104
 0 0 10.3645 0 0 -1.6011
 0 0 10.3695 0 0 -1.59117
 0 0 10.3745 0 0 -1.58124
 0 0 10.3795 0 0 -1.57132
 0 0 10.3845 0 0 -1.56141
 0 0 10.3895 0 0 -1.55151
 0 0 10.3945 0 0 -1.54161
 0 0 10.3995 0 0 -1.53173
 0 0 10.4045 0 0 -1.52184
 0 0 10.4095 0 0 -1.51197
 0 0 10.4145 0 0 -1.5021
 0 0 10.4195 0 0 -1.49224
 0 0 10.4245 0 0 -1.48239
 0 0 10.4295 0 0 -1.47298
 0 0 10.4345 0 0 -1.46548
 0 0 10.4395 0 0 -1.45797
 0 0 10.4445 0 0 -1.45045
 0 0 10.4495 0 0 -1.44292
 0 0 10.4545 0 0 -1.43537
 0 0 10.4595 0 0 -1.4278
 0 0 10.4645 0 0 -1.42023
 0 0 10.4695 0 0 -1.41264
 0 0 10.4745 0 0 -1.40504
 0 0 10.4795 0 0 -1.39742
 0 0 10.4845 0 0 -1.38979
 0 0 10.4895 0 0 -1.38215
 0 0 10.4945 0 0 -1.3745
 0 0 10.4995 0 0 -1.36683
 0 0 10.5045 0 0 -1.36094
 0 0 10.5095 0 0 -1.35525
 0 0 10.5145 0 0 -1.34956
 0 0 10.5195 0 0 -1.34388
 0 0 10.5245 0 0 -1.3382
 0 0 10.5295 0 0 -1.33252
 0 0 10.5345 0 0 -1.32685
 0 0 10.5395 0 0 -1.32118
 0 0 10.5445 0 0 -1.31551
 0 0 10.5495 0 0 -1.30985
 0 0 10.5545 0 0 -1.30419
 0 0 10.5595 0 0 -1.29853
 0 0 10.5645 0 0 -1.29288
 0 0 10.5695 0 0 -1.28723
 0 0 10.5745 0 0 -1.28251
 0 0 10.5795 0 0 -1.27838
 0 0 10.5845 0 0 -1.27425
 0 0 10.5895 0 0 -1.27013
 0 0 10.5945 0 0 -1.26602
 0 0 10.5995 0 0 -1.2619
 0 0 10.6045 0 0 -1.2578
 0 0 10.6095 0 0 -1.25369
 0 0 10.6145 0 0 -1.2496
 0 0 10.6195 0 0 -1.2455
 0 0 10.6245 0 0 -1.24141
 0 0 10.6295 0 0 -1.23733
 0 0 10.6345 0 0 -1.23325
 0 0 10.6395 0 0 -1.22918
 0 0 10.6445 -1.01297e-18 0 -1.22554
 0 0 10.6495 -1.06668e-18 0 -1.22277
 0 0 10.6545 -1.12039e-18 0 -1.22
 0 0 10.6595 -1.1741e-18 0 -1.21723
 0 0 10.6645 -1.22781e-18 0 -1.21447
 0 0 10.6695 -1.28152e-18 0 -1.2117
 0 0 10.6745 -1.33523e-18 0 -1.20893
 0 0 10.6795 -1.38894e-18 0 -1.20617
 0 0 10.6845 -1.44264e-18 0 -1.20341
 0 0 10.6895 -1.49635e-18 0 -1.20064
 0 0 10.6945 -1.55006e-18 0 -1.19788
 0 0 10.6995 -1.60377e-18 0 -1.19512
 0 0 10.7045 -1.65748e-18 0 -1.19236
 0 0 10.7095 -1.71119e-18 0 -1.1896
 0 0 10.7145 0 0 -1.18689
 0 0 10.7195 0 0 -1.18522
 0 0 10.7245 0 0 -1.18355
 0 0 10.7295 0 0 -1.18189
 0 0 10.7345 0 0 -1.18022
 0 0 10.7395 0 0 -1.17856
 0 0 10.7445 0 0 -1.17689
 0 0 10.7495 0 0 -1.17523
 0 0 10.7545 0 0 -1.17356
 0 0 10.7595 0 0 -1.1719
 0 0 10.7645 0 0 -1.17023
 0 0 10.7695 0 0 -1.16857
 0 0 10.7745 0 0 -1.1669
 0 0 10.7795 0 0 -1.16524
 0 0 10.7845 0 0 -1.16357
 0 0 10.7895 1.44314e-19 0 -1.1626
 0 0 10.7945 1.79121e-19 0 -1.16184
 0 0 10.7995 2.13928e-19 0 -1.16108
 0 0 10.8045 2.48734e-19 0 -1.16032
 0 0 10.8095 2.83541e-19 0 -1.15956
 0 0 10.8145 3.18348e-19 0 -1.15879
 0 0 10.8195 3.53154e-19 0 -1.15802
