# x y z bx by bz
 0 0 11.2095 0 0 -1.18345
 0 0 11.2145 0 0 -1.18375
 0 0 11.2195 0 0 -1.18331
 0 0 11.2245 0 0 -1.18287
 0 0 11.2295 0 0 -1.18242
 0 0 11.2345 0 0 -1.18197
 0 0 11.2395 0 0 -1.18152
 0 0 11.2445 0 0 -1.18106
 0 0 11.2495 0 0 -1.18061
 0 0 11.2545 0 0 -1.18015
 0 0 11.2595 0 0 -1.17968
 0 0 11.2645 0 0 -1.17921
 0 0 11.2695 0 0 -1.17874
 0 0 11.2745 0 0 -1.17827
 0 0 11.2795 0 0 -1.17779
 0 0 11.2845 0 0 -1.17731
 0 0 11.2895 0 0 -1.17622
 0 0 11.2945 0 0 -1.17492
 0 0 11.2995 0 0 -1.17362
 0 0 11.3045 0 0 -1.1723
 0 0 11.3095 0 0 -1.17098
 0 0 11.3145 0 0 -1.16966
 0 0 11.3195 0 0 -1.16832
 0 0 11.3245 0 0 -1.16698
 0 0 11.3295 0 0 -1.16562
 0 0 11.3345 0 0 -1.16427
 0 0 11.3395 0 0 -1.1629
 0 0 11.3445 0 0 -1.16152
 0 0 11.3495 0 0 -1.16014
 0 0 11.3545 0 0 -1.15875
 0 0 11.3595 0 0 -1.157
 0 0 11.3645 0 0 -1.15485
 0 0 11.3695 0 0 -1.15269
 0 0 11.3745 0 0 -1.15052
 0 0 11.3795 0 0 -1.14835
 0 0 11.3845 0 0 -1.14617
 0 0 11.3895 0 0 -1.14398
 0 0 11.3945 0 0 -1.14179
 0 0 11.3995 0 0 -1.13959
 0 0 11.4045 0 0 -1.13738
 0 0 11.4095 0 0 -1.13516
 0 0 11.4145 0 0 -1.13294
 0 0 11.4195 0 0 -1.13071
 0 0 11.4245 0 0 -1.12847
 0 0 11.4295 7.39466e-19 0 -1.12615
 0 0 11.4345 7.34803e-19 0 -1.1235
 0 0 11.4395 7.30141e-19 0 -1.12084
 0 0 11.4445 7.25479e-19 0 -1.11817
 0 0 11.4495 7.20816e-19 0 -1.1155
 0 0 11.4545 7.16154e-19 0 -1.11282
 0 0 11.4595 7.11492e-19 0 -1.11014
 0 0 11.4645 7.06829e-19 0 -1.10745
 0 0 11.4695 7.02167e-19 0 -1.10475
 0 0 11.4745 6.97505e-19 0 -1.10205
 0 0 11.4795 6.92842e-19 0 -1.09934
 0 0 11.4845 6.8818e-19 0 -1.09662
 0 0 11.4895 6.83518e-19 0 -1.0939
 0 0 11.4945 6.78855e-19 0 -1.09117
 0 0 11.4995 6.74193e-19 0 -1.08843
 0 0 11.5045 0 0 -1.08563
 0 0 11.5095 0 0 -1.08283
 0 0 11.5145 0 0 -1.08003
 0 0 11.5195 0 0 -1.07723
 0 0 11.5245 0 0 -1.07443
 0 0 11.5295 0 0 -1.07164
 0 0 11.5345 0 0 -1.06885
 0 0 11.5395 0 0 -1.06606
 0 0 11.5445 0 0 -1.06327
 0 0 11.5495 0 0 -1.06049
 0 0 11.5545 0 0 -1.05771
 0 0 11.5595 0 0 -1.05493
 0 0 11.5645 0 0 -1.05216
 0 0 11.5695 0 0 -1.04938
 0 0 11.5745 0 0 -1.04673
 0 0 11.5795 0 0 -1.04414
 0 0 11.5845 0 0 -1.04156
 0 0 11.5895 0 0 -1.03897
 0 0 11.5945 0 0 -1.03639
 0 0 11.5995 0 0 -1.03381
 0 0 11.6045 0 0 -1.03123
 0 0 11.6095 0 0 -1.02865
 0 0 11.6145 0 0 -1.02608
 0 0 11.6195 0 0 -1.0235
 0 0 11.6245 0 0 -1.02093
 0 0 11.6295 0 0 -1.01836
 0 0 11.6345 0 0 -1.01578
 0 0 11.6395 0 0 -1.01322
 0 0 11.6445 9.18894e-19 0 -1.0108
 0 0 11.6495 9.3799e-19 0 -1.00869
 0 0 11.6545 9.57087e-19 0 -1.00658
 0 0 11.6595 9.76183e-19 0 -1.00447
 0 0 11.6645 9.95279e-19 0 -1.00235
 0 0 11.6695 1.01438e-18 0 -1.00022
 0 0 11.6745 1.03347e-18 0 -0.998095
 0 0 11.6795 1.05257e-18 0 -0.995964
 0 0 11.6845 1.07166e-18 0 -0.993828
 0 0 11.6895 1.09076e-18 0 -0.991688
 0 0 11.6945 1.10986e-18 0 -0.989544
 0 0 11.6995 1.12895e-18 0 -0.987396
 0 0 11.7045 1.14805e-18 0 -0.985244
 0 0 11.7095 1.16714e-18 0 -0.983088
 0 0 11.7145 0 0 -0.980949
 0 0 11.7195 0 0 -0.979286
