# x y z bx by bz
 0 0 10.0724 0 0 -2.50878
 0 0 10.0824 0 0 -2.47274
 0 0 10.0924 0 0 -2.43662
 0 0 10.1024 0 0 -2.40045
 0 0 10.1124 0 0 -2.36422
 0 0 10.1224 0 0 -2.32793
 0 0 10.1324 0 0 -2.29157
 0 0 10.1424 0 0 -2.25515
 0 0 10.1524 0 0 -2.21914
 0 0 10.1624 0 0 -2.18355
 0 0 10.1724 0 0 -2.14837
 0 0 10.1824 0 0 -2.11362
 0 0 10.1924 0 0 -2.07928
 0 0 10.2024 0 0 -2.04535
 0 0 10.2124 0 0 -2.01184
 0 0 10.2224 0 0 -1.98143
 0 0 10.2324 0 0 -1.95169
 0 0 10.2424 0 0 -1.92197
 0 0 10.2524 0 0 -1.89227
 0 0 10.2624 0 0 -1.86258
 0 0 10.2724 0 0 -1.83291
 0 0 10.2824 0 0 -1.80326
 0 0 10.2924 0 0 -1.77653
 0 0 10.3024 0 0 -1.75138
 0 0 10.3124 0 0 -1.72637
 0 0 10.3224 0 0 -1.7015
 0 0 10.3324 0 0 -1.67677
 0 0 10.3424 0 0 -1.65218
 0 0 10.3524 0 0 -1.62773
 0 0 10.3624 0 0 -1.60574
 0 0 10.3724 0 0 -1.58589
 0 0 10.3824 0 0 -1.56607
 0 0 10.3924 0 0 -1.54628
 0 0 10.4024 0 0 -1.52652
 0 0 10.4124 0 0 -1.50678
 0 0 10.4224 0 0 -1.48708
 0 0 10.4324 0 0 -1.4692
 0 0 10.4424 0 0 -1.4542
 0 0 10.4524 0 0 -1.43914
 0 0 10.4624 0 0 -1.42404
 0 0 10.4724 0 0 -1.40887
 0 0 10.4824 0 0 -1.39366
 0 0 10.4924 0 0 -1.3784
 0 0 10.5024 0 0 -1.36403
 0 0 10.5124 0 0 -1.35267
 0 0 10.5224 0 0 -1.34133
 0 0 10.5324 0 0 -1.33
 0 0 10.5424 0 0 -1.31868
 0 0 10.5524 0 0 -1.30738
 0 0 10.5624 0 0 -1.29609
 0 0 10.5724 0 0 -1.28511
 0 0 10.5824 0 0 -1.27688
 0 0 10.5924 0 0 -1.26867
 0 0 10.6024 0 0 -1.26047
 0 0 10.6124 0 0 -1.2523
 0 0 10.6224 0 0 -1.24414
 0 0 10.6324 0 0 -1.23601
 0 0 10.6424 0 0 -1.22789
 0 0 10.6524 1.08773e-18 0 -1.22227
 0 0 10.6624 1.19546e-18 0 -1.21677
 0 0 10.6724 1.30319e-18 0 -1.21128
