# x y z bx by bz
 0 0 11.2124 0 0 -1.1883
 0 0 11.2224 0 0 -1.18779
 0 0 11.2324 0 0 -1.18697
 0 0 11.2424 0 0 -1.18615
 0 0 11.2524 0 0 -1.18532
 0 0 11.2624 0 0 -1.18449
 0 0 11.2724 0 0 -1.18365
 0 0 11.2824 0 0 -1.1828
 0 0 11.2924 0 0 -1.18081
 0 0 11.3024 0 0 -1.17825
 0 0 11.3124 0 0 -1.17566
 0 0 11.3224 0 0 -1.17305
 0 0 11.3324 0 0 -1.17042
 0 0 11.3424 0 0 -1.16777
 0 0 11.3524 0 0 -1.1651
 0 0 11.3624 0 0 -1.16161
 0 0 11.3724 0 0 -1.15737
 0 0 11.3824 0 0 -1.1531
 0 0 11.3924 0 0 -1.1488
 0 0 11.4024 0 0 -1.14448
 0 0 11.4124 0 0 -1.14012
 0 0 11.4224 0 0 -1.13573
 0 0 11.4324 0 0 -1.131
 0 0 11.4424 0 0 -1.12571
 0 0 11.4524 0 0 -1.12042
 0 0 11.4624 0 0 -1.11511
 0 0 11.4724 0 0 -1.10978
 0 0 11.4824 0 0 -1.10444
 0 0 11.4924 0 0 -1.09909
 0 0 11.5024 -7.0576e-19 0 -1.09368
 0 0 11.5124 -7.10158e-19 0 -1.08814
 0 0 11.5224 -7.14557e-19 0 -1.0826
 0 0 11.5324 -7.18955e-19 0 -1.07706
 0 0 11.5424 -7.23353e-19 0 -1.07151
 0 0 11.5524 -7.27752e-19 0 -1.06596
 0 0 11.5624 -7.3215e-19 0 -1.06042
 0 0 11.5724 0 0 -1.05491
 0 0 11.5824 0 0 -1.04985
 0 0 11.5924 0 0 -1.04479
 0 0 11.6024 0 0 -1.03973
 0 0 11.6124 0 0 -1.03467
 0 0 11.6224 0 0 -1.02961
 0 0 11.6324 0 0 -1.02454
 0 0 11.6424 0 0 -1.01948
 0 0 11.6524 0 0 -1.01517
 0 0 11.6624 0 0 -1.01092
 0 0 11.6724 0 0 -1.00666
 0 0 11.6824 0 0 -1.00241
 0 0 11.6924 0 0 -0.998171
 0 0 11.7024 0 0 -0.993933
 0 0 11.7124 0 0 -0.989699
 0 0 11.7224 -3.5313e-19 0 -0.986059
 0 0 11.7324 -3.52553e-19 0 -0.982648
 0 0 11.7424 -3.51976e-19 0 -0.979337
 0 0 11.7524 -3.51399e-19 0 -0.976127
 0 0 11.7624 -3.50822e-19 0 -0.973017
 0 0 11.7724 -3.50244e-19 0 -0.970008
 0 0 11.7824 -3.49667e-19 0 -0.967099
 0 0 11.7924 0 0 -0.964405
 0 0 11.8024 0 0 -0.96183
 0 0 11.8124 0 0 -0.959309
 0 0 11.8224 0 0 -0.956843
 0 0 11.8324 0 0 -0.954431
 0 0 11.8424 0 0 -0.952073
 0 0 11.8524 0 0 -0.94977
 0 0 11.8624 0 0 -0.947839
 0 0 11.8724 0 0 -0.946205
 0 0 11.8824 0 0 -0.944562
