# x y z bx by bz
 0 0 9.46239 0 0 -3.15722
 0 0 9.47239 0 0 -3.15928
 0 0 9.48239 0 0 -3.16095
 0 0 9.49239 0 0 -3.16243
 0 0 9.50239 0 0 -3.16383
 0 0 9.51239 8.01515e-20 0 -3.16521
 0 0 9.52239 7.87227e-20 0 -3.16677
 0 0 9.53239 7.72938e-20 0 -3.16853
 0 0 9.54239 -7.28081e-20 0 -3.17063
 0 0 9.55239 -6.82883e-20 0 -3.17288
 0 0 9.56239 0 0 -3.17542
 0 0 9.57239 0 0 -3.17862
 0 0 9.58239 0 0 -3.18204
 0 0 9.59239 0 0 -3.18573
 0 0 9.60239 0 0 -3.18957
 0 0 9.61239 0 0 -3.1935
 0 0 9.62239 0 0 -3.19759
 0 0 9.63239 0 0 -3.20165
 0 0 9.64239 0 0 -3.20564
 0 0 9.65239 0 0 -3.20912
 0 0 9.66239 0 0 -3.21257
 0 0 9.67239 0 0 -3.21573
 0 0 9.68239 0 0 -3.21797
 0 0 9.69239 0 0 -3.22019
 0 0 9.70239 0 0 -3.22147
 0 0 9.71239 0 0 -3.22177
 0 0 9.72239 0 0 -3.22204
 0 0 9.73239 0 0 -3.22061
 0 0 9.74239 0 0 -3.2185
 0 0 9.75239 0 0 -3.2163
 0 0 9.76239 2.30656e-19 0 -3.2117
 0 0 9.77239 2.39821e-19 0 -3.20642
 0 0 9.78239 0 0 -3.2004
 0 0 9.79239 0 0 -3.19324
 0 0 9.80239 0 0 -3.18509
 0 0 9.81239 0 0 -3.17458
 0 0 9.82239 0 0 -3.16267
 0 0 9.83239 0 0 -3.15113
 0 0 9.84239 -7.35344e-19 0 -3.13714
 0 0 9.85239 -7.09594e-19 0 -3.12175
 0 0 9.86239 -6.83844e-19 0 -3.10585
 0 0 9.87239 0 0 -3.08862
 0 0 9.88239 0 0 -3.07022
 0 0 9.89239 0 0 -3.05019
 0 0 9.90239 0 0 -3.0279
 0 0 9.91239 0 0 -3.00502
 0 0 9.92239 0 0 -2.98122
 0 0 9.93239 0 0 -2.95623
 0 0 9.94239 0 0 -2.93035
 0 0 9.95239 0 0 -2.90243
 0 0 9.96239 0 0 -2.87396
 0 0 9.97239 0 0 -2.84547
 0 0 9.98239 4.90002e-18 0 -2.8139
 0 0 9.99239 4.53087e-18 0 -2.78318
 0 0 10.0024 0 0 -2.75219
 0 0 10.0124 0 0 -2.71776
 0 0 10.0224 0 0 -2.68322
 0 0 10.0324 0 0 -2.64857
 0 0 10.0424 0 0 -2.61381
 0 0 10.0524 0 0 -2.57894
 0 0 10.0624 0 0 -2.54396
 0.01 0 9.46239 0.000665353 0 -3.15744
 0.01 0 9.47239 0.000810275 0 -3.15939
 0.01 0 9.48239 0.000885523 0 -3.16104
 0.01 0 9.49239 0.000909458 0 -3.1626
 0.01 0 9.50239 0.000653697 0 -3.16388
 0.01 0 9.51239 0.000761655 0 -3.1652
 0.01 0 9.52239 0.000983613 0 -3.16669
 0.01 0 9.53239 0.000965917 0 -3.16846
 0.01 0 9.54239 0.000915709 0 -3.17048
 0.01 0 9.55239 0.00107186 0 -3.1728
 0.01 0 9.56239 0.00155424 0 -3.1755
 0.01 0 9.57239 0.0016948 0 -3.17867
 0.01 0 9.58239 0.0018255 0 -3.18202
 0.01 0 9.59239 0.00184335 0 -3.18562
 0.01 0 9.60239 0.00188758 0 -3.18947
 0.01 0 9.61239 0.00203251 0 -3.19351
 0.01 0 9.62239 0.00204374 0 -3.19757
 0.01 0 9.63239 0.00199815 0 -3.20158
 0.01 0 9.64239 0.00195663 0 -3.20561
 0.01 0 9.65239 0.00161531 0 -3.20934
 0.01 0 9.66239 0.00186751 0 -3.21279
 0.01 0 9.67239 0.00127383 0 -3.21582
 0.01 0 9.68239 0.00118061 0 -3.21831
 0.01 0 9.69239 0.00134364 0 -3.22049
 0.01 0 9.70239 -3.36291e-05 0 -3.22183
 0.01 0 9.71239 0.000204505 0 -3.22225
 0.01 0 9.72239 -0.000114503 0 -3.22216
 0.01 0 9.73239 -0.0012502 0 -3.22115
 0.01 0 9.74239 -0.00068115 0 -3.21912
 0.01 0 9.75239 -0.00187906 0 -3.21609
 0.01 0 9.76239 -0.00238534 0 -3.21196
 0.01 0 9.77239 -0.00320181 0 -3.20703
 0.01 0 9.78239 -0.00339435 0 -3.20064
 0.01 0 9.79239 -0.00359077 0 -3.19295
