# x y z bx by bz
 0 0 10.0724 0 0 -2.99236
 0 0 10.0824 0 0 -2.98166
 0 0 10.0924 0 0 -2.97063
 0 0 10.1024 0 0 -2.95928
 0 0 10.1124 0 0 -2.94759
 0 0 10.1224 0 0 -2.93558
 0 0 10.1324 0 0 -2.92324
 0 0 10.1424 2.60633e-18 0 -2.90612
 0 0 10.1524 2.51709e-18 0 -2.88851
 0 0 10.1624 2.42785e-18 0 -2.87076
 0 0 10.1724 2.33862e-18 0 -2.85285
 0 0 10.1824 2.24938e-18 0 -2.8348
 0 0 10.1924 2.16014e-18 0 -2.81659
 0 0 10.2024 2.66476e-18 0 -2.79752
 0 0 10.2124 2.71563e-18 0 -2.77653
 0 0 10.2224 2.7665e-18 0 -2.75548
 0 0 10.2324 2.81737e-18 0 -2.73437
 0 0 10.2424 2.86824e-18 0 -2.71319
 0 0 10.2524 2.91911e-18 0 -2.69196
 0 0 10.2624 2.96998e-18 0 -2.67065
 0 0 10.2724 0 0 -2.65083
 0 0 10.2824 0 0 -2.63199
 0 0 10.2924 0 0 -2.61324
 0 0 10.3024 0 0 -2.59457
 0 0 10.3124 0 0 -2.57598
 0 0 10.3224 0 0 -2.55749
 0 0 10.3324 0 0 -2.53908
 0 0 10.3424 0 0 -2.52344
 0 0 10.3524 0 0 -2.50788
 0 0 10.3624 0 0 -2.49233
 0 0 10.3724 0 0 -2.47677
 0 0 10.3824 0 0 -2.46121
 0 0 10.3924 0 0 -2.44564
 0 0 10.4024 0 0 -2.43076
 0 0 10.4124 0 0 -2.41733
 0 0 10.4224 0 0 -2.40392
 0 0 10.4324 0 0 -2.39053
 0 0 10.4424 0 0 -2.37716
 0 0 10.4524 0 0 -2.36381
 0 0 10.4624 0 0 -2.35047
 0 0 10.4724 -1.10503e-18 0 -2.33896
 0 0 10.4824 -1.21464e-18 0 -2.32848
 0 0 10.4924 -1.32426e-18 0 -2.31814
 0 0 10.5024 -1.43387e-18 0 -2.30795
 0 0 10.5124 -1.54348e-18 0 -2.2979
 0 0 10.5224 -1.6531e-18 0 -2.28799
 0 0 10.5324 6.63607e-19 0 -2.27826
 0 0 10.5424 7.27756e-19 0 -2.27202
 0 0 10.5524 7.91904e-19 0 -2.26578
 0 0 10.5624 8.56053e-19 0 -2.25953
 0 0 10.5724 9.20201e-19 0 -2.25329
 0 0 10.5824 9.8435e-19 0 -2.24705
 0 0 10.5924 1.0485e-18 0 -2.2408
 0 0 10.6024 0 0 -2.23508
 0 0 10.6124 0 0 -2.23027
 0 0 10.6224 0 0 -2.22541
 0 0 10.6324 0 0 -2.22051
 0 0 10.6424 0 0 -2.21556
 0 0 10.6524 0 0 -2.21057
 0 0 10.6624 0 0 -2.20554
 0 0 10.6724 0 0 -2.20004
 0 0 10.6824 0 0 -2.1944
 0 0 10.6924 0 0 -2.18879
 0 0 10.7024 0 0 -2.18322
 0 0 10.7124 0 0 -2.17768
 0 0 10.7224 0 0 -2.17219
 0 0 10.7324 -6.3557e-19 0 -2.16675
 0 0 10.7424 -6.48358e-19 0 -2.16162
 0 0 10.7524 -6.61147e-19 0 -2.15643
 0 0 10.7624 -6.73935e-19 0 -2.15117
 0 0 10.7724 -6.86723e-19 0 -2.14586
 0 0 10.7824 -6.99511e-19 0 -2.14049
 0 0 10.7924 -7.12299e-19 0 -2.13507
 0 0 10.8024 0 0 -2.12931
 0 0 10.8124 0 0 -2.12299
 0 0 10.8224 0 0 -2.11649
 0 0 10.8324 0 0 -2.10982
 0 0 10.8424 0 0 -2.10296
 0 0 10.8524 0 0 -2.09592
 0 0 10.8624 0 0 -2.0887
 0 0 10.8724 0 0 -2.07766
 0.01 0 10.0724 -0.00526867 0 -2.99236
 0.01 0 10.0824 -0.00506414 0 -2.98185
 0.01 0 10.0924 -0.00485961 0 -2.97102
 0.01 0 10.1024 -0.00465507 0 -2.95985
 0.01 0 10.1124 -0.00445054 0 -2.94836
 0.01 0 10.1224 -0.00424601 0 -2.93654
 0.01 0 10.1324 -0.00870034 0 -2.92267
 0.01 0 10.1424 -0.00944591 0 -2.90588
 0.01 0 10.1524 -0.00911166 0 -2.88847
 0.01 0 10.1624 -0.00877742 0 -2.87091
 0.01 0 10.1724 -0.00844317 0 -2.85319
 0.01 0 10.1824 -0.00810893 0 -2.83533
 0.01 0 10.1924 -0.00863109 0 -2.81695
 0.01 0 10.2024 -0.0102407 0 -2.79692
 0.01 0 10.2124 -0.0101789 0 -2.77613
 0.01 0 10.2224 -0.0103695 0 -2.75514
 0.01 0 10.2324 -0.01056 0 -2.73408
 0.01 0 10.2424 -0.0107505 0 -2.71297
 0.01 0 10.2524 -0.0109411 0 -2.69178
 0.01 0 10.2624 -0.0111316 0 -2.67054
 0.01 0 10.2724 -0.00819754 0 -2.65014
 0.01 0 10.2824 -0.0086163 0 -2.63128
 0.01 0 10.2924 -0.00903506 0 -2.6125
 0.01 0 10.3024 -0.00945383 0 -2.5938
 0.01 0 10.3124 -0.00987259 0 -2.57519
 0.01 0 10.3224 -0.0102914 0 -2.55667
 0.01 0 10.3324 -0.00825684 0 -2.5393
 0.01 0 10.3424 -0.00756334 0 -2.52339
 0.01 0 10.3524 -0.00772364 0 -2.50777
 0.01 0 10.3624 -0.00788395 0 -2.49214
 0.01 0 10.3724 -0.00804426 0 -2.47652
 0.01 0 10.3824 -0.00820456 0 -2.46089
 0.01 0 10.3924 -0.00821689 0 -2.44533
 0.01 0 10.4024 -0.0067829 0 -2.43074
 0.01 0 10.4124 -0.00627823 0 -2.41701
 0.01 0 10.4224 -0.00641074 0 -2.40367
 0.01 0 10.4324 -0.00654324 0 -2.39035
 0.01 0 10.4424 -0.00667575 0 -2.37705
 0.01 0 10.4524 -0.00680826 0 -2.36376
 0.01 0 10.4624 -0.00694076 0 -2.3505
 0.01 0 10.4724 -0.00451494 0 -2.33829
 0.01 0 10.4824 -0.00448405 0 -2.32761
 0.01 0 10.4924 -0.00489461 0 -2.31727
 0.01 0 10.5024 -0.00530517 0 -2.30707
 0.01 0 10.5124 -0.00571573 0 -2.29702
 0.01 0 10.5224 -0.00612629 0 -2.28711
 0.01 0 10.5324 -0.00388161 0 -2.27862
 0.01 0 10.5424 -0.00274451 0 -2.27176
 0.01 0 10.5524 -0.00298478 0 -2.26544
 0.01 0 10.5624 -0.00322505 0 -2.25913
 0.01 0 10.5724 -0.00346532 0 -2.25282
 0.01 0 10.5824 -0.00370559 0 -2.24651
 0.01 0 10.5924 -0.0036364 0 -2.24035
 0.01 0 10.6024 -0.00202183 0 -2.235
