# x y z bx by bz
 0 0 10.8824 0 0 -2.06542
 0 0 10.8924 0 0 -2.05327
 0 0 10.9024 0 0 -2.04119
 0 0 10.9124 0 0 -2.0292
 0 0 10.9224 0 0 -2.01729
 0 0 10.9324 -2.86228e-18 0 -2.00494
 0 0 10.9424 -2.7526e-18 0 -1.98757
 0 0 10.9524 -2.64292e-18 0 -1.97025
 0 0 10.9624 -2.53324e-18 0 -1.95299
 0 0 10.9724 -2.42356e-18 0 -1.9358
 0 0 10.9824 -2.31389e-18 0 -1.91866
 0 0 10.9924 -2.20421e-18 0 -1.90158
 0 0 11.0024 0 0 -1.88378
 0 0 11.0124 0 0 -1.86498
 0 0 11.0224 0 0 -1.84616
 0 0 11.0324 0 0 -1.82732
 0 0 11.0424 0 0 -1.80846
 0 0 11.0524 0 0 -1.78957
 0 0 11.0624 0 0 -1.77067
 0 0 11.0724 0 0 -1.75084
 0 0 11.0824 0 0 -1.73079
 0 0 11.0924 0 0 -1.71075
 0 0 11.1024 0 0 -1.69073
 0 0 11.1124 0 0 -1.67074
 0 0 11.1224 0 0 -1.65076
 0 0 11.1324 -3.24072e-18 0 -1.63051
 0 0 11.1424 -3.16802e-18 0 -1.60835
 0 0 11.1524 -3.09532e-18 0 -1.58618
 0 0 11.1624 -3.02262e-18 0 -1.56399
 0 0 11.1724 -2.94991e-18 0 -1.54179
 0 0 11.1824 -2.87721e-18 0 -1.51958
 0 0 11.1924 -2.80451e-18 0 -1.49735
 0 0 11.2024 3.1317e-18 0 -1.47478
 0 0 11.2124 3.15275e-18 0 -1.45191
 0 0 11.2224 3.17379e-18 0 -1.42915
 0 0 11.2324 3.19484e-18 0 -1.40649
 0 0 11.2424 3.21589e-18 0 -1.38394
 0 0 11.2524 3.23694e-18 0 -1.36149
 0 0 11.2624 3.25798e-18 0 -1.33915
 0 0 11.2724 0 0 -1.31942
 0 0 11.2824 0 0 -1.30038
 0 0 11.2924 0 0 -1.28149
 0 0 11.3024 0 0 -1.26275
 0 0 11.3124 0 0 -1.24415
 0 0 11.3224 0 0 -1.22571
 0 0 11.3324 0 0 -1.20822
 0 0 11.3424 0 0 -1.19473
 0 0 11.3524 0 0 -1.18131
 0 0 11.3624 0 0 -1.16795
 0 0 11.3724 0 0 -1.15467
 0 0 11.3824 0 0 -1.14145
 0 0 11.3924 0 0 -1.1283
 0 0 11.4024 0 0 -1.11733
 0 0 11.4124 0 0 -1.10861
 0 0 11.4224 0 0 -1.10027
 0 0 11.4324 0 0 -1.09229
 0 0 11.4424 0 0 -1.08467
 0 0 11.4524 0 0 -1.07742
 0 0 11.4624 0 0 -1.07054
 0 0 11.4724 0 0 -1.06458
 0 0 11.4824 0 0 -1.05895
 0 0 11.4924 0 0 -1.05356
 0 0 11.5024 0 0 -1.0484
 0 0 11.5124 0 0 -1.04348
 0 0 11.5224 0 0 -1.0388
 0 0 11.5324 0 0 -1.03471
 0 0 11.5424 0 0 -1.03203
 0 0 11.5524 0 0 -1.02934
 0 0 11.5624 0 0 -1.02663
 0 0 11.5724 0 0 -1.02391
 0 0 11.5824 0 0 -1.02117
 0 0 11.5924 0 0 -1.01842
 0 0 11.6024 1.24533e-19 0 -1.01628
 0 0 11.6124 1.42772e-19 0 -1.01467
 0 0 11.6224 1.61011e-19 0 -1.01308
 0 0 11.6324 1.7925e-19 0 -1.01152
 0 0 11.6424 1.9749e-19 0 -1.00998
