# x y z bx by bz
 0 0 9.46239 0 0 -3.13259
 0 0 9.47239 0 0 -3.13438
 0 0 9.48239 0 0 -3.13572
 0 0 9.49239 0 0 -3.13656
 0 0 9.50239 0 0 -3.13746
 0 0 9.51239 0 0 -3.13848
 0 0 9.52239 0 0 -3.13958
 0 0 9.53239 0 0 -3.14072
 0 0 9.54239 0 0 -3.14263
 0 0 9.55239 0 0 -3.14454
 0 0 9.56239 0 0 -3.14664
 0 0 9.57239 0 0 -3.1496
 0 0 9.58239 0 0 -3.15284
 0 0 9.59239 0 0 -3.15641
 0 0 9.60239 0 0 -3.16018
 0 0 9.61239 0 0 -3.16404
 0 0 9.62239 0 0 -3.16818
 0 0 9.63239 0 0 -3.17242
 0 0 9.64239 0 0 -3.17666
 0 0 9.65239 0 0 -3.18081
 0 0 9.66239 0 0 -3.1848
 0 0 9.67239 0 0 -3.18854
 0 0 9.68239 0 0 -3.19188
 0 0 9.69239 0 0 -3.19522
 0 0 9.70239 0 0 -3.19804
 0 0 9.71239 0 0 -3.19998
 0 0 9.72239 0 0 -3.20145
 0 0 9.73239 0 0 -3.20228
 0 0 9.74239 0 0 -3.20287
 0 0 9.75239 0 0 -3.20332
 0 0 9.76239 0 0 -3.20225
 0 0 9.77239 0 0 -3.20055
 0 0 9.78239 0 0 -3.19823
 0 0 9.79239 0 0 -3.19539
 0 0 9.80239 0 0 -3.19218
 0 0 9.81239 0 0 -3.18807
 0 0 9.82239 0 0 -3.18308
 0 0 9.83239 0 0 -3.17781
 0 0 9.84239 4.53876e-19 0 -3.172
 0 0 9.85239 4.49508e-19 0 -3.16581
 0 0 9.86239 4.4514e-19 0 -3.15932
 0 0 9.87239 0 0 -3.15194
 0 0 9.88239 0 0 -3.14438
 0 0 9.89239 0 0 -3.13661
 0 0 9.90239 0 0 -3.12864
 0 0 9.91239 0 0 -3.12062
 0 0 9.92239 0 0 -3.11248
 0 0 9.93239 0 0 -3.10427
 0 0 9.94239 0 0 -3.09609
 0 0 9.95239 0 0 -3.08799
 0 0 9.96239 0 0 -3.07996
 0 0 9.97239 0 0 -3.072
 0 0 9.98239 0 0 -3.06435
 0 0 9.99239 0 0 -3.05665
 0 0 10.0024 -1.00545e-18 0 -3.04897
 0 0 10.0124 -9.93706e-19 0 -3.04141
 0 0 10.0224 -9.81958e-19 0 -3.03374
 0 0 10.0324 -9.7021e-19 0 -3.02595
 0 0 10.0424 -9.58463e-19 0 -3.01804
 0 0 10.0524 -9.46715e-19 0 -3.01002
 0 0 10.0624 -9.34967e-19 0 -3.00188
 0.01 0 9.46239 0.00102872 0 -3.13281
 0.01 0 9.47239 0.00098149 0 -3.13465
 0.01 0 9.48239 0.000150045 0 -3.13582
 0.01 0 9.49239 0.000298144 0 -3.13662
 0.01 0 9.50239 0.000440832 0 -3.13749
 0.01 0 9.51239 0.000504377 0 -3.13841
 0.01 0 9.52239 0.000403964 0 -3.13946
 0.01 0 9.53239 0.000825327 0 -3.14073
 0.01 0 9.54239 0.000903155 0 -3.14248
 0.01 0 9.55239 0.000721791 0 -3.14433
 0.01 0 9.56239 0.00147881 0 -3.14672
 0.01 0 9.57239 0.00169155 0 -3.14968
 0.01 0 9.58239 0.00174238 0 -3.15283
 0.01 0 9.59239 0.00175454 0 -3.1563
 0.01 0 9.60239 0.0017261 0 -3.16
 0.01 0 9.61239 0.0020272 0 -3.16403
 0.01 0 9.62239 0.002104 0 -3.16824
 0.01 0 9.63239 0.00207138 0 -3.17249
 0.01 0 9.64239 0.00208528 0 -3.17669
 0.01 0 9.65239 0.00210772 0 -3.18083
 0.01 0 9.66239 0.00199848 0 -3.18481
 0.01 0 9.67239 0.00172844 0 -3.18857
 0.01 0 9.68239 0.00184511 0 -3.19199
 0.01 0 9.69239 0.001764 0 -3.19529
