# x y z bx by bz
 0 0 9.46239 0 0 -3.1331
 0 0 9.47239 0 0 -3.13444
 0 0 9.48239 0 0 -3.13535
 0 0 9.49239 0 0 -3.1363
 0 0 9.50239 0 0 -3.13725
 0 0 9.51239 -6.192e-20 0 -3.13821
 0 0 9.52239 -5.06892e-20 0 -3.13926
 0 0 9.53239 -3.94585e-20 0 -3.1404
 0 0 9.54239 0 0 -3.14231
 0 0 9.55239 0 0 -3.14425
 0 0 9.56239 2.85274e-19 0 -3.14648
 0 0 9.57239 2.43541e-19 0 -3.14952
 0 0 9.58239 2.01807e-19 0 -3.15253
 0 0 9.59239 0 0 -3.15596
 0 0 9.60239 0 0 -3.15986
 0 0 9.61239 0 0 -3.16373
 0 0 9.62239 0 0 -3.16785
 0 0 9.63239 0 0 -3.17208
 0 0 9.64239 0 0 -3.17632
 0 0 9.65239 0 0 -3.18046
 0 0 9.66239 0 0 -3.1845
 0 0 9.67239 -2.02796e-19 0 -3.18829
 0 0 9.68239 -2.2632e-19 0 -3.19153
 0 0 9.69239 -2.49845e-19 0 -3.19466
 0 0 9.70239 0 0 -3.19733
 0 0 9.71239 0 0 -3.19935
 0 0 9.72239 0 0 -3.20103
 0 0 9.73239 0 0 -3.20214
 0 0 9.74239 0 0 -3.20272
 0 0 9.75239 0 0 -3.20285
 0 0 9.76239 0 0 -3.20144
 0 0 9.77239 0 0 -3.19979
 0 0 9.78239 0 0 -3.1978
 0 0 9.79239 0 0 -3.1951
 0 0 9.80239 0 0 -3.1919
 0 0 9.81239 0 0 -3.18777
 0 0 9.82239 0 0 -3.18274
 0 0 9.83239 0 0 -3.17729
 0 0 9.84239 0 0 -3.17128
 0 0 9.85239 0 0 -3.16505
 0 0 9.86239 0 0 -3.15868
 0 0 9.87239 0 0 -3.15112
 0 0 9.88239 0 0 -3.14362
 0 0 9.89239 0 0 -3.13604
 0 0 9.90239 0 0 -3.12794
 0 0 9.91239 0 0 -3.11987
 0 0 9.92239 -6.70379e-19 0 -3.11174
 0 0 9.93239 -6.64744e-19 0 -3.10354
 0 0 9.94239 -6.59109e-19 0 -3.09531
 0 0 9.95239 0 0 -3.08713
 0 0 9.96239 0 0 -3.07904
 0 0 9.97239 0 0 -3.07105
 0 0 9.98239 0 0 -3.06331
 0 0 9.99239 0 0 -3.05564
 0 0 10.0024 6.81552e-19 0 -3.04805
 0 0 10.0124 6.85216e-19 0 -3.04052
 0 0 10.0224 6.88879e-19 0 -3.03291
 0 0 10.0324 6.92543e-19 0 -3.02523
 0 0 10.0424 6.96207e-19 0 -3.01748
 0 0 10.0524 0 0 -3.00926
 0 0 10.0624 0 0 -2.99981
 0.01 0 9.46239 0.00073183 0 -3.13263
 0.01 0 9.47239 0.000594556 0 -3.13425
 0.01 0 9.48239 0.000519975 0 -3.13543
 0.01 0 9.49239 0.000506015 0 -3.1364
 0.01 0 9.50239 0.000447781 0 -3.13725
 0.01 0 9.51239 0.000406849 0 -3.13814
 0.01 0 9.52239 0.000337304 0 -3.13911
 0.01 0 9.53239 0.0008177 0 -3.14044
 0.01 0 9.54239 0.000873264 0 -3.14214
 0.01 0 9.55239 0.000649311 0 -3.14398
 0.01 0 9.56239 0.00159134 0 -3.14639
 0.01 0 9.57239 0.00148695 0 -3.14934
 0.01 0 9.58239 0.00125531 0 -3.15231
 0.01 0 9.59239 0.00217008 0 -3.15582
 0.01 0 9.60239 0.00199647 0 -3.15974
 0.01 0 9.61239 0.00191289 0 -3.16367
 0.01 0 9.62239 0.00220815 0 -3.16783
 0.01 0 9.63239 0.00212282 0 -3.17211
 0.01 0 9.64239 0.00208863 0 -3.17635
 0.01 0 9.65239 0.00205681 0 -3.18044
 0.01 0 9.66239 0.00199902 0 -3.18444
 0.01 0 9.67239 0.00179241 0 -3.1883
 0.01 0 9.68239 0.0012994 0 -3.19175
 0.01 0 9.69239 0.00144508 0 -3.19473
 0.01 0 9.70239 0.00121473 0 -3.19738
 0.01 0 9.71239 0.000719279 0 -3.19964
 0.01 0 9.72239 0.000643836 0 -3.20128
 0.01 0 9.73239 0.000579343 0 -3.20217
 0.01 0 9.74239 0.000248065 0 -3.2026
 0.01 0 9.75239 -0.000140983 0 -3.20259
 0.01 0 9.76239 -0.00114568 0 -3.20182
 0.01 0 9.77239 -0.0011776 0 -3.20011
 0.01 0 9.78239 -0.00112768 0 -3.19789
 0.01 0 9.79239 -0.00114932 0 -3.19504
 0.01 0 9.80239 -0.00166767 0 -3.19168
 0.01 0 9.81239 -0.002436 0 -3.18759
 0.01 0 9.82239 -0.00305582 0 -3.18282
 0.01 0 9.83239 -0.00294032 0 -3.17737
 0.01 0 9.84239 -0.00285942 0 -3.17148
 0.01 0 9.85239 -0.00280226 0 -3.16537
 0.01 0 9.86239 -0.00362905 0 -3.15856
 0.01 0 9.87239 -0.00389493 0 -3.1513
 0.01 0 9.88239 -0.00362869 0 -3.14382
 0.01 0 9.89239 -0.00403626 0 -3.13606
 0.01 0 9.90239 -0.00411578 0 -3.12803
 0.01 0 9.91239 -0.00402983 0 -3.11993
 0.01 0 9.92239 -0.0041259 0 -3.11173
 0.01 0 9.93239 -0.00412219 0 -3.10352
 0.01 0 9.94239 -0.00408729 0 -3.09529
 0.01 0 9.95239 -0.00409952 0 -3.08713
 0.01 0 9.96239 -0.00408313 0 -3.07908
 0.01 0 9.97239 -0.00393466 0 -3.07112
 0.01 0 9.98239 -0.0037868 0 -3.06333
 0.01 0 9.99239 -0.00378616 0 -3.05564
 0.01 0 10.0024 -0.003807 0 -3.04803
 0.01 0 10.0124 -0.00382752 0 -3.04043
 0.01 0 10.0224 -0.00384804 0 -3.03277
 0.01 0 10.0324 -0.00386041 0 -3.02504
 0.01 0 10.0424 -0.0036647 0 -3.01742
 0.01 0 10.0524 -0.00476619 0 -3.00935
 0.01 0 10.0624 -0.00507336 0 -3.00029
 0.02 0 9.46239 0.00156805 0 -3.13296
 0.02 0 9.47239 0.00134246 0 -3.13444
 0.02 0 9.48239 0.00101084 0 -3.13576
 0.02 0 9.49239 0.000889362 0 -3.13645
 0.02 0 9.50239 0.000855519 0 -3.13717
 0.02 0 9.51239 0.000860525 0 -3.13795
 0.02 0 9.52239 0.00106527 0 -3.139
 0.02 0 9.53239 0.00154182 0 -3.14025
 0.02 0 9.54239 0.0017214 0 -3.14173
 0.02 0 9.55239 0.00197653 0 -3.14382
 0.02 0 9.56239 0.00279539 0 -3.14622
 0.02 0 9.57239 0.00293159 0 -3.14892
 0.02 0 9.58239 0.00313338 0 -3.15218
 0.02 0 9.59239 0.00390108 0 -3.15571
 0.02 0 9.60239 0.00396073 0 -3.1595
 0.02 0 9.61239 0.00401474 0 -3.16358
 0.02 0 9.62239 0.00434555 0 -3.16781
 0.02 0 9.63239 0.00437251 0 -3.17212
 0.02 0 9.64239 0.00428869 0 -3.17643
 0.02 0 9.65239 0.00401587 0 -3.18062
 0.02 0 9.66239 0.00396501 0 -3.18461
 0.02 0 9.67239 0.00372685 0 -3.18845
 0.02 0 9.68239 0.00317137 0 -3.19197
 0.02 0 9.69239 0.002686 0 -3.19526
